bird instrument cat transport fruit veg name
0 1 0 0 0 0 accordion
0 0 0 0 0 0 aircraft
0 0 0 0 0 0 airplane
0 0 0 0 0 0 alpaca
0 0 0 1 0 0 ambulance
0 0 0 0 0 0 animal
0 0 0 0 0 0 ant
0 0 0 0 0 0 antelope
0 0 0 0 1 0 apple
0 0 0 0 0 0 armadillo
0 0 0 0 0 1 artichoke
0 0 0 0 0 1 asparagus
0 0 0 0 0 0 axe
0 0 0 0 0 0 backpack
0 0 0 0 0 0 bagel
0 0 0 0 0 0 ball
0 0 0 0 0 0 balloon
0 0 0 0 1 0 banana
0 0 0 0 0 0 band-aid
0 1 0 0 0 0 banjo
0 0 0 0 0 0 barge
0 0 0 0 0 0 barrel
0 0 0 0 0 0 bat
0 0 0 0 0 0 bathtub
0 0 0 0 0 0 beaker
0 0 0 0 0 0 bear
0 0 0 0 0 0 bed
0 0 0 0 0 0 bee
0 0 0 0 0 0 beehive
0 0 0 0 0 0 beer
0 0 0 0 0 0 beetle
0 0 0 0 0 0 belt
0 0 0 0 0 0 bench
0 0 0 0 0 0 bicycle
0 0 0 0 0 0 bidet
0 0 0 0 0 0 billboard
0 0 0 0 0 0 binoculars
1 0 0 0 0 0 bird
0 0 0 0 0 0 blender
0 0 0 0 0 0 boat
0 0 0 0 0 0 bomb
0 0 0 0 0 0 book
0 0 0 0 0 0 bookcase
0 0 0 0 0 0 boot
0 0 0 0 0 0 bottle
0 0 0 0 0 0 bowl
0 0 0 0 0 0 box
0 0 0 0 0 0 boy
0 0 0 0 0 0 brassiere
0 0 0 0 0 0 bread
0 0 0 0 0 0 briefcase
0 0 0 0 0 1 broccoli
0 0 0 0 0 0 building
0 0 0 0 0 0 bull
0 0 0 0 0 0 burrito
0 0 0 1 0 0 bus
0 0 0 0 0 0 bust
0 0 0 0 0 0 butterfly
0 0 0 0 0 1 cabbage
0 0 0 0 0 0 cabinetry
0 0 0 0 0 0 cake
0 0 0 0 0 0 calculator
0 0 0 0 0 0 camel
0 0 0 0 0 0 camera
1 0 0 0 0 0 canary
0 0 0 0 0 0 candle
0 0 0 0 0 0 candy
0 0 0 0 0 0 cannon
0 0 0 0 0 0 canoe
0 0 0 0 1 0 cantaloupe
0 0 0 0 0 0 car
0 0 0 0 0 0 carnivore
0 0 0 0 0 1 carrot
0 0 0 0 0 0 cart
0 0 0 0 0 0 castle
0 0 1 0 0 0 cat
0 0 0 0 0 0 caterpillar
0 0 0 0 0 0 cattle
0 1 0 0 0 0 cello
0 0 0 0 0 0 centipede
0 0 0 0 0 0 chainsaw
0 0 0 0 0 0 chair
0 0 0 0 0 0 cheese
0 0 1 0 0 0 cheetah
1 0 0 0 0 0 chicken
0 0 0 0 0 0 chime
0 0 0 0 0 0 chisel
0 0 0 0 0 0 chopsticks
0 0 0 0 0 0 clock
0 0 0 0 0 0 closet
0 0 0 0 0 0 clothing
0 0 0 0 0 0 coat
0 0 0 0 0 0 cocktail
0 0 0 0 0 0 coconut
0 0 0 0 0 0 coffee
0 0 0 0 0 0 coffeemaker
0 0 0 0 0 0 coin
0 0 0 0 0 0 container
0 0 0 0 0 0 cookie
0 0 0 0 0 0 cosmetics
0 0 0 0 0 0 couch
0 0 0 0 0 0 countertop
0 0 0 0 0 0 crab
0 0 0 0 0 0 cream
0 0 0 0 0 0 crocodile
0 0 0 0 0 0 croissant
0 0 0 0 0 0 crown
0 0 0 0 0 0 crutch
0 0 0 0 0 1 cucumber
0 0 0 0 0 0 cupboard
0 0 0 0 0 0 curtain
0 0 0 0 0 0 dagger
0 0 0 0 0 0 dairy
0 0 0 0 0 0 deer
0 0 0 0 0 0 desk
0 0 0 0 0 0 dessert
0 0 0 0 0 0 diaper
0 0 0 0 0 0 dice
0 0 0 0 0 0 dinosaur
0 0 0 0 0 0 dishwasher
0 0 0 0 0 0 dog
0 0 0 0 0 0 doll
0 0 0 0 0 0 dolphin
0 0 0 0 0 0 door
0 0 0 0 0 0 doughnut
0 0 0 0 0 0 dragonfly
0 0 0 0 0 0 drawer
0 0 0 0 0 0 dress
0 0 0 0 0 0 drill
0 0 0 0 0 0 drink
0 0 0 0 0 0 drum
1 0 0 0 0 0 duck
0 0 0 0 0 0 dumbbell
1 0 0 0 0 0 eagle
0 0 0 0 0 0 earrings
0 0 0 0 0 0 egg
0 0 0 0 0 0 elephant
0 0 0 0 0 0 envelope
0 0 0 0 0 0 eraser
1 0 0 0 0 0 falcon
0 0 0 0 0 0 fax
0 0 0 0 0 0 fedora
0 0 0 0 0 0 fireplace
0 0 0 0 0 0 fish
0 0 0 0 0 0 flag
0 0 0 0 0 0 flashlight
0 0 0 0 0 0 flower
0 0 0 0 0 0 flowerpot
0 1 0 0 0 0 flute
0 0 0 0 0 0 food
0 0 0 0 0 0 football
0 0 0 0 0 0 footwear
0 0 0 0 0 0 fork
